customer_id,age,account_age_days,customer_segment,country,multiple_accounts_flag,customer_support_contacts
CUST00001,51,312,Silver,IN,0,0
CUST00002,27,1143,Bronze,IN,0,0
CUST00003,42,403,Gold,IN,0,0
CUST00004,25,407,Gold,IN,0,15
CUST00005,36,117,Platinum,IN,0,0
CUST00006,30,57,New,IN,0,0
CUST00007,22,298,New,IN,0,0
CUST00008,21,667,Silver,IN,0,1
CUST00009,31,118,Bronze,IN,0,0
CUST00010,19,482,Silver,IN,0,0
CUST00011,33,292,New,IN,0,0
CUST00012,18,579,Silver,IN,0,0
CUST00013,37,168,Bronze,IN,0,0
CUST00014,33,107,New,IN,0,0
CUST00015,62,171,Bronze,IN,0,0
CUST00016,18,473,Silver,IN,0,0
CUST00017,44,510,Gold,IN,1,5
CUST00018,36,189,Bronze,IN,0,0
CUST00019,23,853,New,IN,0,3
CUST00020,21,387,Silver,IN,0,0
CUST00021,29,316,Silver,IN,0,1
CUST00022,24,426,Bronze,IN,0,0
CUST00023,34,108,Gold,IN,0,0
CUST00024,38,141,Gold,IN,0,2
CUST00025,19,90,Platinum,IN,0,2
CUST00026,63,208,Bronze,IN,0,0
CUST00027,18,129,Platinum,IN,1,8
CUST00028,49,47,New,IN,0,0
CUST00029,33,233,Bronze,IN,0,0
CUST00030,29,233,Bronze,IN,0,0
CUST00031,32,499,New,IN,0,0
CUST00032,24,356,Bronze,IN,0,0
CUST00033,53,294,Bronze,IN,0,0
CUST00034,39,346,Silver,IN,0,0
CUST00035,18,1321,New,IN,0,2
CUST00036,43,1082,New,IN,0,7
CUST00037,38,60,Bronze,IN,0,1
CUST00038,42,580,Gold,IN,0,0
CUST00039,45,142,Gold,IN,0,0
CUST00040,28,76,Gold,IN,0,0
CUST00041,31,214,Bronze,IN,0,0
CUST00042,53,611,New,IN,0,3
CUST00043,49,494,Bronze,IN,0,0
CUST00044,37,196,Silver,IN,0,0
CUST00045,46,310,Bronze,IN,0,0
CUST00046,29,249,Bronze,IN,0,13
CUST00047,41,256,Gold,IN,0,0
CUST00048,18,500,Silver,IN,0,0
CUST00049,54,618,Gold,IN,0,0
CUST00050,36,300,Bronze,IN,0,0
CUST00051,24,7,Bronze,IN,0,0
CUST00052,52,158,New,IN,0,0
CUST00053,41,404,Silver,IN,0,0
CUST00054,18,570,Platinum,IN,0,0
CUST00055,26,433,New,IN,0,0
CUST00056,46,32,Gold,IN,0,0
