order_id,customer_id,order_date,product_category,order_amount,discount_used,is_high_value_item,platform,device_type,payment_method,shipping_carrier,tracking_number_valid,address_change_before_delivery
ORD000001,CUST00001,2024-10-08,Books,164.09,1,0,Mobile App,MacBook,Gift Card,USPS,1,0
ORD000002,CUST00001,2025-08-20,Beauty,78.81,0,0,Tablet App,Android,Debit Card,FedEx,1,0
ORD000003,CUST00001,2024-01-28,Books,134.11,0,0,Mobile App,iPad,Credit Card,DHL,1,0
ORD000004,CUST00001,2024-10-25,Home & Kitchen,77.0,1,0,Mobile App,Windows PC,Gift Card,FedEx,1,1
ORD000005,CUST00002,2024-12-25,Furniture,12.06,1,0,Tablet App,MacBook,PayPal,OnTrac,1,0
ORD000006,CUST00002,2025-08-10,Beauty,249.47,0,0,Tablet App,Windows PC,Buy Now Pay Later,UPS,1,0
ORD000007,CUST00002,2024-05-24,Electronics,102.34,1,0,Tablet App,Android,Gift Card,FedEx,1,0
ORD000008,CUST00002,2025-06-08,Shoes,78.31,1,0,Mobile App,Android,Debit Card,DHL,1,0
ORD000009,CUST00003,2024-10-08,Beauty,89.41,1,0,Tablet App,Windows PC,Crypto,OnTrac,1,0
ORD000010,CUST00003,2024-03-15,Jewelry,5.0,0,0,Mobile App,iPad,Crypto,USPS,1,0
ORD000011,CUST00003,2024-12-20,Toys,138.49,1,0,Mobile App,iPad,Buy Now Pay Later,UPS,1,0
ORD000012,CUST00003,2025-07-14,Electronics,112.87,0,0,Mobile App,Android,Buy Now Pay Later,OnTrac,1,0
ORD000013,CUST00004,2024-02-12,Books,233.14,0,0,Tablet App,Android,Crypto,UPS,0,0
ORD000014,CUST00004,2024-06-28,Tools,120.72,1,0,Web Browser,Windows PC,Crypto,FedEx,1,0
ORD000015,CUST00004,2025-05-19,Tools,150.36,0,0,Web Browser,iPad,Buy Now Pay Later,FedEx,0,0
ORD000016,CUST00004,2024-09-04,Home & Kitchen,117.89,1,0,Tablet App,Windows PC,PayPal,OnTrac,0,0
ORD000017,CUST00004,2025-03-14,Jewelry,240.2,0,0,Mobile App,Android,Credit Card,DHL,0,1
ORD000018,CUST00004,2024-09-18,Beauty,92.83,1,0,Web Browser,Windows PC,Crypto,FedEx,0,1
ORD000019,CUST00004,2024-12-20,Home & Kitchen,205.46,0,0,Web Browser,iPhone,PayPal,USPS,0,0
ORD000020,CUST00004,2024-05-10,Grocery,78.99,1,0,Tablet App,Windows PC,Crypto,USPS,0,0
ORD000021,CUST00004,2025-05-27,Jewelry,16.93,1,0,Mobile App,MacBook,Crypto,FedEx,0,0
ORD000022,CUST00004,2024-09-18,Furniture,5.0,1,0,Mobile App,Android,Credit Card,UPS,1,0
ORD000023,CUST00005,2024-07-22,Jewelry,98.81,0,0,Mobile App,MacBook,Gift Card,FedEx,1,0
ORD000024,CUST00005,2024-11-17,Books,91.78,0,0,Tablet App,Android,Credit Card,DHL,1,0
ORD000025,CUST00005,2024-03-29,Clothing,96.77,0,0,Web Browser,iPhone,Crypto,OnTrac,1,0
ORD000026,CUST00005,2025-03-13,Home & Kitchen,38.51,0,0,Web Browser,MacBook,Gift Card,FedEx,1,0
ORD000027,CUST00005,2024-11-05,Jewelry,66.63,1,0,Web Browser,Android,Buy Now Pay Later,DHL,1,0
ORD000028,CUST00005,2025-07-19,Books,43.02,0,0,Web Browser,Android,PayPal,FedEx,1,0
ORD000029,CUST00006,2024-07-22,Beauty,177.32,1,0,Tablet App,iPad,PayPal,DHL,1,0
ORD000030,CUST00006,2025-08-15,Shoes,16.36,0,0,Mobile App,MacBook,Gift Card,UPS,1,0
ORD000031,CUST00006,2024-02-19,Sports,166.31,1,0,Mobile App,MacBook,Gift Card,DHL,1,0
ORD000032,CUST00006,2024-06-26,Furniture,102.79,1,0,Tablet App,iPhone,Gift Card,FedEx,1,0
ORD000033,CUST00006,2024-10-04,Beauty,86.06,0,0,Mobile App,Android,Gift Card,FedEx,1,0
ORD000034,CUST00006,2025-03-07,Shoes,5.0,0,0,Tablet App,iPad,PayPal,OnTrac,1,0
ORD000035,CUST00007,2024-11-04,Sports,115.66,0,0,Web Browser,Android,Credit Card,DHL,1,0
