return_id,order_id,customer_id,return_date,days_to_return,return_reason,refund_amount,item_returned_opened,return_packaging_intact,photo_evidence_provided,refund_to_different_account,vendor_decision,verified_abuse_type,decision_timestamp
RET000001,ORD000009,CUST00003,2024-10-12,4,Wrong size,89.41,0,1,1,0,approved,Legitimate,2024-10-13
RET000002,ORD000013,CUST00004,2024-02-17,5,Not as described,233.14,1,0,1,0,rejected,Wardrobing,2024-02-19
RET000003,ORD000015,CUST00004,2025-05-20,1,No longer needed,150.36,0,1,0,0,approved,Policy Abuser,2025-05-22
RET000004,ORD000016,CUST00004,2024-09-05,1,Not as described,117.89,1,1,0,0,rejected,Policy Abuser,2024-09-07
RET000005,ORD000017,CUST00004,2025-03-16,2,Wrong size,240.2,1,1,0,0,approved,Policy Abuser,2025-03-20
RET000006,ORD000018,CUST00004,2024-09-19,1,Late delivery,92.83,1,1,1,0,rejected,Policy Abuser,2024-09-23
RET000007,ORD000019,CUST00004,2024-12-28,8,Late delivery,205.46,1,0,0,1,rejected,Fraudulent Return,2024-12-31
RET000008,ORD000020,CUST00004,2024-05-11,1,Item defective,78.99,1,0,0,1,rejected,Fraudulent Return,2024-05-14
RET000009,ORD000021,CUST00004,2025-06-16,20,Found cheaper elsewhere,16.93,0,0,0,0,rejected,Wardrobing,2025-06-18
RET000010,ORD000022,CUST00004,2024-09-20,2,Changed mind,5.0,1,0,0,0,approved,Policy Abuser,2024-09-22
RET000011,ORD000030,CUST00006,2025-08-26,11,Found cheaper elsewhere,16.36,0,1,1,0,approved,Legitimate,2025-08-30
RET000012,ORD000040,CUST00008,2024-07-08,2,Late delivery,124.47,0,1,1,0,approved,Legitimate,2024-07-10
RET000013,ORD000041,CUST00008,2025-08-20,1,Not as described,5.0,1,1,1,0,approved,Legitimate,2025-08-24
RET000014,ORD000060,CUST00014,2025-04-12,6,No longer needed,87.02,0,1,0,0,approved,Legitimate,2025-04-16
RET000015,ORD000061,CUST00014,2025-01-12,13,Wrong size,170.94,0,1,1,0,approved,Legitimate,2025-01-13
RET000016,ORD000062,CUST00014,2025-03-02,7,Changed mind,181.42,0,1,1,0,approved,Legitimate,2025-03-03
RET000017,ORD000067,CUST00015,2024-09-17,13,Found cheaper elsewhere,153.44,0,1,1,0,approved,Legitimate,2024-09-18
RET000018,ORD000070,CUST00016,2024-08-01,4,No longer needed,351.45,0,1,1,0,approved,Legitimate,2024-08-02
RET000019,ORD000071,CUST00016,2024-05-03,1,Found cheaper elsewhere,117.34,0,1,1,0,approved,Legitimate,2024-05-04
RET000020,ORD000072,CUST00017,2025-01-19,3,Late delivery,149.36,1,1,0,1,rejected,Wardrobing,2025-01-22
RET000021,ORD000073,CUST00017,2024-06-13,7,Item defective,238.5,1,1,1,0,rejected,Fraudulent Return,2024-06-14
RET000022,ORD000076,CUST00018,2024-11-05,2,No longer needed,126.16,0,1,1,0,approved,Legitimate,2024-11-07
RET000023,ORD000079,CUST00019,2025-04-30,1,Late delivery,186.29,1,1,1,0,approved,Legitimate,2025-05-03
RET000024,ORD000081,CUST00019,2025-08-09,4,Item defective,37.85,1,1,1,0,approved,Legitimate,2025-08-10
RET000025,ORD000085,CUST00019,2025-03-10,3,Found cheaper elsewhere,60.4,0,1,1,0,rejected,Policy Abuser,2025-03-13
RET000026,ORD000094,CUST00021,2024-11-28,6,Late delivery,52.62,0,1,0,0,approved,Legitimate,2024-11-29
RET000027,ORD000096,CUST00022,2025-01-24,5,No longer needed,159.36,0,0,0,0,approved,Legitimate,2025-01-28
RET000028,ORD000108,CUST00024,2025-02-22,19,Not as described,165.87,0,1,1,0,approved,Fraudulent Return,2025-02-24
RET000029,ORD000109,CUST00024,2024-09-29,4,No longer needed,5.0,1,1,1,0,approved,Legitimate,2024-10-01
RET000030,ORD000113,CUST00025,2025-01-06,4,No longer needed,5.0,0,1,1,0,approved,Policy Abuser,2025-01-07
RET000031,ORD000114,CUST00025,2025-01-12,3,Item defective,58.84,0,1,0,0,approved,Legitimate,2025-01-16
RET000032,ORD000118,CUST00025,2025-02-26,4,Wrong size,206.13,1,0,1,0,rejected,Wardrobing,2025-03-02
RET000033,ORD000119,CUST00026,2024-12-03,6,Item damaged,55.53,0,1,1,0,approved,Legitimate,2024-12-04
RET000034,ORD000121,CUST00027,2025-02-15,2,Item defective,262.02,1,0,0,0,rejected,Policy Abuser,2025-02-17
RET000035,ORD000122,CUST00027,2024-09-11,1,Wrong size,140.04,0,0,1,0,rejected,Policy Abuser,2024-09-15
RET000036,ORD000123,CUST00027,2024-03-14,1,No longer needed,7.22,1,0,0,0,rejected,Policy Abuser,2024-03-15
RET000037,ORD000136,CUST00032,2025-06-18,3,Item damaged,74.24,0,1,1,0,approved,Legitimate,2025-06-22
RET000038,ORD000144,CUST00035,2024-07-24,9,Found cheaper elsewhere,5.0,0,1,0,0,rejected,Policy Abuser,2024-07-26
RET000039,ORD000145,CUST00035,2024-09-04,3,Changed mind,45.3,1,0,1,0,approved,Policy Abuser,2024-09-06
RET000040,ORD000147,CUST00035,2024-07-22,4,Not as described,5.0,1,1,0,0,rejected,Policy Abuser,2024-07-26
RET000041,ORD000150,CUST00036,2025-04-02,7,Found cheaper elsewhere,96.76,1,1,0,1,rejected,Policy Abuser,2025-04-04
RET000042,ORD000151,CUST00036,2024-01-04,1,Found cheaper elsewhere,228.54,1,0,0,0,rejected,Fraudulent Return,2024-01-08
RET000043,ORD000152,CUST00036,2025-03-05,1,Item damaged,81.04,1,0,1,0,rejected,Fraudulent Return,2025-03-08
RET000044,ORD000156,CUST00037,2025-06-23,1,No longer needed,39.46,0,1,1,0,approved,Legitimate,2025-06-25
RET000045,ORD000163,CUST00037,2024-06-29,1,Item damaged,5.0,0,1,1,0,approved,Legitimate,2024-07-03
RET000046,ORD000164,CUST00037,2024-03-16,1,Changed mind,49.7,1,1,0,0,approved,Legitimate,2024-03-19
RET000047,ORD000179,CUST00042,2025-02-22,14,Wrong size,197.13,0,1,1,0,rejected,Policy Abuser,2025-02-23
RET000048,ORD000184,CUST00042,2024-07-13,1,Item damaged,64.02,1,1,0,0,approved,Legitimate,2024-07-17
RET000049,ORD000185,CUST00042,2024-09-16,12,Found cheaper elsewhere,27.69,0,1,1,0,approved,Legitimate,2024-09-17
RET000050,ORD000193,CUST00044,2025-07-11,1,Wrong size,86.42,0,1,1,0,rejected,Policy Abuser,2025-07-13
RET000051,ORD000198,CUST00046,2025-06-09,1,Found cheaper elsewhere,125.31,0,0,0,0,rejected,Fraudulent Return,2025-06-13
RET000052,ORD000199,CUST00046,2024-01-08,1,Wrong size,103.07,1,0,0,1,rejected,Policy Abuser,2024-01-12
RET000053,ORD000200,CUST00046,2024-09-06,3,Wrong size,193.25,1,1,0,0,approved,Wardrobing,2024-09-07
RET000054,ORD000202,CUST00046,2025-05-19,5,Changed mind,98.44,1,0,0,1,approved,Fraudulent Return,2025-05-22
RET000055,ORD000203,CUST00046,2025-01-06,23,Item damaged,124.06,1,0,0,0,approved,Fraudulent Return,2025-01-10
RET000056,ORD000205,CUST00046,2024-10-02,8,Item defective,131.15,1,0,1,0,rejected,Fraudulent Return,2024-10-03
RET000057,ORD000208,CUST00048,2025-03-26,10,Item damaged,5.0,0,1,0,0,approved,Legitimate,2025-03-27
RET000058,ORD000214,CUST00049,2025-01-22,2,Late delivery,92.61,0,1,0,0,approved,Legitimate,2025-01-25
